ram_cap,gb_approx,tok_s,vram_pct,ram_pct,nvme_pct
256,0.5,3.44,57,0,43
512,1,3.43,57,0,43
1024,2,3.61,57,2.8,40.2
2048,3.9,3.96,57,8.1,34.9
3072,5.8,4.51,57,13.8,29.3
