K,tok_s,vram_pct,ram_pct,nvme_pct,peak_vram_mb
0,3.36,0.0,66.1,33.9,2613.6
16,3.81,47.2,18,34.8,3162.1
24,3.98,56.6,9.1,34.3,3893.5
32,4.12,62.8,4.2,33,4624.9
48,4.24,68.4,1.4,30.2,6087.6
64,4.52,72,0.8,27.2,7550.4
