throttle_mbps,tok_s,nvme_pct,disk_gbps
100,0.22,40.9,0.2
300,0.5,40.9,0.56
600,0.76,40.9,0.97
1200,1.1,40.9,1.56
0,3.56,40.9,2.11
50,0.12,41.0,0.19
