K,tok_s,vram_pct,ram_pct,nvme_pct,peak_vram_mb
0,5.35,0,72.8,27.2,3158.2
16,6.3,51.3,20.9,27.9,3766.4
24,6.6,60.7,11.9,27.4,4374.6
32,6.96,66.2,7.4,26.4,4982.8
40,6.8,69.3,5,25.7,5590.9
48,7.58,72,3.2,24.7,6199.1
