ram_cap,tok_s,vram_pct,ram_pct,nvme_pct
256,5.19,60.1,0,39.9
512,5.21,60.1,0.2,39.7
1024,5.4,60.1,3.2,36.7
2048,6.24,60.1,10.7,29.2
3072,7.88,60.1,18.4,21.5
